"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TOLERANCE";"TP_SIGNAL_NAME";"VALUE";"VOLTAGERATING";
"3.3V";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"unknown";"";"";"";"";"";"";"";
"5V";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"unknown";"";"";"";"";"";"";"";
"12..24V";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"unknown";"";"";"";"";"";"";"";
"12V";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"unknown";"";"";"";"";"";"";"";
"ADT0";"22-05-7108-10";"22-05-7108-10";"7395-10";"CONNECTOR";"MOLEX";"22-05-7108";"9731660";"unknown";"";"";"";"";"";"";
"B1";"3000";"3000";"3000";"";"KEYSTONE";"3000";"1650692";"";"";"";"";"";"";"";
"BAT";"53261-03";"53261-03";"53261-03";"CONNECTOR";"MOLEX";"53261-0371";"1125359";"57H5006";"";"";"";"";"";"";
"C1";"4.7uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"MULTICOMP";"MC0805X475K6R3CT";"1759414";"";"";"";"";"";"";"";
"C2";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0402B104K160CT";"1758896";"";"";"";"";"";"";"";
"C3";"4.7uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0603X475K6R3CT";"2320811";"";"";"";"";"";"";"";
"C4";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0402B104K160CT";"1758896";"";"";"";"";"";"";"";
"C5";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0402B104K160CT";"1758896";"";"";"";"";"";"";"";
"C6";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0402B104K160CT";"1758896";"";"";"";"";"";"";"";
"C7";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0402B104K160CT";"1758896";"";"";"";"";"";"";"";
"C8";"100UF";"EEE-FTH101XAP-CASE-D8";"CAPAE660X800N";"Aluminum Electrolytic Capacitors,Surface Mount Type";"PANASONIC ELECTRONIC COMPONENTS";"EEEFTH101XAP";"1868426";"31T8172";"CASE-D8";"PANASONIC";"±20 %";"";"100UF";"50V";
"C10";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0402B104K160CT";"1758896";"";"";"";"";"";"";"";
"C13";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0402B104K160CT";"1758896";"";"";"";"";"";"";"";
"C17";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0402B104K160CT";"1758896";"";"";"";"";"";"";"";
"C26";"4.7uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0603X475K6R3CT";"2320811";"";"";"";"";"";"";"";
"C46";"4.7uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0603X475K6R3CT";"2320811";"";"";"";"";"";"";"";
"C48";"150UF";"EEE-FTV151XAP-CASE-D8";"CAPAE660X800N";"Aluminum Electrolytic Capacitors,Surface Mount Type";"PANASONIC ELECTRONIC COMPONENTS";"EEEFTV151XAP";"1868418";"31T8173";"CASE-D8";"PANASONIC";"±20 %";"";"150UF";"35V";
"C49";" 68UF";"EEE-FT1A680AR-CASE-B";"CAPAE430X610N";"Aluminum Electrolytic Capacitors,Surface Mount Type";"PANASONIC ELECTRONIC COMPONENTS";"EEEFT1A680AR";"2065959";"73T9155";"CASE-B";"PANASONIC";"±20 %";"";" 68UF";"10V";
"C51";"10nF";"U0805R103KCT";"CAPC2013X90N";"CAPACITOR, 0805";"MULTICOMP";"MCU0805R103KCT";"9406352";"38K9283";"";"Multicomp";"±10%";"";"10nF";"50V";
"C52";"150UF";"EEE-FTV151XAP-CASE-D8";"CAPAE660X800N";"Aluminum Electrolytic Capacitors,Surface Mount Type";"PANASONIC ELECTRONIC COMPONENTS";"EEEFTV151XAP";"1868418";"31T8173";"CASE-D8";"PANASONIC";"±20 %";"";"150UF";"35V";
"C53";" 47UF";"EEE-FT1E470AR-CASE-C";"CAPAE530X610N";"Aluminum Electrolytic Capacitors,Surface Mount Type";"PANASONIC ELECTRONIC COMPONENTS";"EEEFT1E470AR";"1868404";"31T8177";"CASE-C";"PANASONIC";"±20 %";"";" 47UF";"25V";
"C55";"10nF";"U0805R103KCT";"CAPC2013X90N";"CAPACITOR, 0805";"MULTICOMP";"MCU0805R103KCT";"9406352";"38K9283";"";"Multicomp";"±10%";"";"10nF";"50V";
"D1";"3A, 60V";"MBRS360BT3G";"SMB";"";"ON SEMICONDUCTOR";"MBRS360BT3G";"2317398";"";"";"ON SEMICONDUCTOR";"";"";"3A, 60V";"";
"D2";"3A, 60V";"MBRS360BT3G";"SMB";"";"ON SEMICONDUCTOR";"MBRS360BT3G";"2317398";"";"";"ON SEMICONDUCTOR";"";"";"3A, 60V";"";
"D3";"3A, 60V";"MBRS360BT3G";"SMB";"";"ON SEMICONDUCTOR";"MBRS360BT3G";"2317398";"";"";"ON SEMICONDUCTOR";"";"";"3A, 60V";"";
"D4";"3A, 60V";"MBRS360BT3G";"SMB";"";"ON SEMICONDUCTOR";"MBRS360BT3G";"2317398";"";"";"ON SEMICONDUCTOR";"";"";"3A, 60V";"";
"DC1";"NTE1205MC";"NTE1205MC";"NTE";"";"MURATA POWER SOLUTIONS";"NTE1205MC";"1021603";"";"";"";"";"";"";"";
"EXP0";"87832-26";"87832-26";"87832-26";"Milli-Grid Header";"MOLEX";"87832-2620";"2313712";"unknown";"";"";"";"";"";"";
"FU0";"FUSE3557";"FUSE3557";"3557";"Fuse";"KEYSTONE";"3557";"2292902";"";"";"";"";"";"";"";
"H1";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"unknown";"";"";"";"";"";"";"";
"H2";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"unknown";"";"";"";"";"";"";"";
"H3";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"unknown";"";"";"";"";"";"";"";
"H4";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"unknown";"";"";"";"";"";"";"";
"ISW";"22-05-7108-10";"22-05-7108-10";"7395-10";"CONNECTOR";"MOLEX";"22-05-7108";"9731660";"unknown";"";"";"";"";"";"";
"JP1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"unknown";"";"";"";"";"";"";"";
"JP2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"unknown";"";"";"";"";"";"";"";
"L1";"47uH";"B82462G4473M000";"B82462G4";"";"EPCOS";"B82462G4473M";"7430060";"";"";"";"";"";"47uH";"";
"L2";"68uH";"B82462G4683M000";"B82462G4";"";"EPCOS";"B82462G4683M";"7430078";"";"";"";"";"";"68uH";"";
"L3";"1uH";"B82462G4102M000";"B82462G4";"";"EPCOS";"B82462G4102M";"7429967";"";"";"";"";"";"1uH";"";
"LED1";"red";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0608";"1716774";"";"";"";"";"";"";"";
"LED2";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";"";"";"";
"LED3";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";"";"";"";
"LED4";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";"";"";"";
"LED5";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";"";"";"";
"LED6";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";"";"";"";
"LED7";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";"";"";"";
"LED8";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";"";"";"";
"LED9";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";"";"";"";
"OK1";"TLP283-4";"TLP283-4";"MINI-FLAT-16";"TOSHIBA PHOTOCOUPLER GaAs IRED & PHOTO-TRANSISTOR";"VISHAY";"TCMT4100";"1779650";"unknown";"";"";"";"";"";"";
"OK2";"HCPL0601";"HCPL0601";"SOIC08";"HEWLETT PACKARD OPTO COUPLER";"AVAGO TECHNOLOGIES";"HCPL-0601-000E";"9995102";"88H7776";"";"";"";"";"";"";
"P8";"F-2X23-";"F-2X23-";"DIL-100-2X23";"";"SAMTEC";"ESQ-123-14-T-D";"1932255";"";"";"";"";"";"";"";
"P9";"F-2X23-";"F-2X23-";"DIL-100-2X23";"";"SAMTEC";"ESQ-123-14-T-D";"1932255";"";"";"";"";"";"";"";
"P10";"F-2X2-";"F-2X2-";"DIL-100-2X2";"";"SAMTEC";"TSW-104-14-T-D";"2027226";"";"";"";"";"";"";"";
"POW";"MSTBA3";"MSTBA3";"MSTBA3";"PHOENIX";"PHOENIX CONTACT";"1757255";"3705183";"71C4162";"";"";"";"";"";"";
"Q1";"32.768kHz, 12.5pF";"ABS07-32.768KHZ";"ABS07";"";"ABRACON";"ABS07-32.768KHZ-T";"2101347";"";"";"";"";"";"32.768kHz, 12.5pF";"";
"Q2";"16MHz, 22pF";"AWSCR-16MHZ-MTD-C22PF";"AWSCR-MT";"";"ABRACON";"AWSCR-16.00MTD-T";"2101362";"";"";"";"";"";"16MHz, 22pF";"";
"Q4";"";"IRLML6344TRPBF";"SOT95P240X112-3N";"Power MOSFET";"INTERNATIONAL RECTIFIER";"IRLML6344TRPBF";"1857299";"25T5501";"SOT-23-3";"INTERNATIONAL RECTIFIER";"";"";"";"";
"Q5";"";"IRLML6344TRPBF";"SOT95P240X112-3N";"Power MOSFET";"INTERNATIONAL RECTIFIER";"IRLML6344TRPBF";"1857299";"25T5501";"SOT-23-3";"INTERNATIONAL RECTIFIER";"";"";"";"";
"R1";"R100";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1000FTL";"2072515";"";"";"";"";"";"";"";
"R2";"R100";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1000FTL";"2072515";"";"";"";"";"";"";"";
"R3";"R100";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1000FTL";"2072515";"";"";"";"";"";"";"";
"R4";"R100";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1000FTL";"2072515";"";"";"";"";"";"";"";
"R5";"1k";"R-EUR0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1001FTL";"2072516";"";"";"";"";"";"";"";
"R6";"1k";"R-EUR0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1001FTL";"2072516";"";"";"";"";"";"";"";
"R7";"1k";"R-EUR0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1001FTL";"2072516";"";"";"";"";"";"";"";
"R8";"1k";"R-EUR0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1001FTL";"2072516";"";"";"";"";"";"";"";
"R9";"1.5K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1501FTL";"2072645";"";"";"";"";"";"";"";
"R10";"1.5K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1501FTL";"2072645";"";"";"";"";"";"";"";
"R11";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R12";"1.5K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1501FTL";"2072645";"";"";"";"";"";"";"";
"R13";"4K7, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R14";"1.5K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1501FTL";"2072645";"";"";"";"";"";"";"";
"R15";"4K7, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R16";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"R17";"1.5K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1501FTL";"2072645";"";"";"";"";"";"";"";
"R18";"4K7, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R19";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R20";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R21";"470";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4700FTL";"2073063";"";"";"";"";"";"";"";
"R22";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R25";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R26";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R27";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R28";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R29";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R30";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R31";"3K3";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X3301FTL";"2072928";"";"";"";"";"";"";"";
"R32";"120, DNI";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1200FTL";"2072575";"";"";"";"";"";"";"";
"R38";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"R40";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"R45";"4.7K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X4701FTL";"2073064";"";"";"";"";"";"";"";
"R50";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"R51";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"R52";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"R53";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"R54";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"R55";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"R56";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"R57";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";"";"";"";
"RL1";"G6L5VDC";"G6L5VDC";"G6L-1F";"";"OMRON ELECTRONIC COMPONENTS";"G6L1F5DC";"2213840";"";"";"";"";"";"";"";
"TH0";"22-05-7038-03";"22-05-7038-03";"7395-03";"CONNECTOR";"MOLEX";"22-05-7038";"9731610";"unknown";"";"";"";"";"";"";
"TH1";"22-05-7038-03";"22-05-7038-03";"7395-03";"CONNECTOR";"MOLEX";"22-05-7038";"9731610";"unknown";"";"";"";"";"";"";
"TH2";"22-05-7038-03";"22-05-7038-03";"7395-03";"CONNECTOR";"MOLEX";"22-05-7038";"9731610";"unknown";"";"";"";"";"";"";
"U$1";"EXMACHINA-LOGO";"EXMACHINA-LOGO";"EXM-LOGO";"";"";"";"unknown";"";"";"";"";"";"";"";
"U$2";"CC-BY-SA";"CC-BY-SA";"CC-BY-SA";"";"";"";"unknown";"";"";"";"";"";"";"";
"U1";"LM2675M-5.0";"LM2675M-5.0";"SOIC127P620X175-8N";"Step-Down Voltage Regulator";"TEXAS INSTRUMENTS";"LM2675M-5.0";"9489746";"41K4141";"8-SOIC";"National Semiconductors";"";"";"";"";
"U2";"LM2675M-12";"LM2675M-12";"SOIC127P600X175-8N";"IC REG SIMPLE SWITCHER";"TEXAS INSTRUMENTS";"LM2675M-12/NOPB";"1469208";"41K4139";"8-SOIC";"National Semiconductor";"";"";"";"";
"U3";"24AA256-I/SN";"24AA256-I/SN";"SOIC127P600X175-8N";"EEPROM";"MICROCHIP";"24AA256-I/SN";"1331295";"92C6874";"SOIC-8";"MICROCHIP";"";"";"";"";
"U4";"DS1307ZN+";"DS1307ZN+";"SOIC127P600X175-8N";"64 x 8, Serial, I2C Real-Time Clock";"MAXIM INTEGRATED PRODUCTS";"DS1307ZN+";"9725253";"96K8872";"SOIC-8";"Maxim";"";"";"";"";
"U5";"CD4050BD";"CD4050BD";"SOIC127P600X175-16N";"CMOS Hex Buffer/Converters";"TEXAS INSTRUMENTS";"CD4050BD";"1740857";"50R5062";"16-SOIC";"Texas Instruments";"";"";"";"";
"U6";"CD4050BD";"CD4050BD";"SOIC127P600X175-16N";"CMOS Hex Buffer/Converters";"TEXAS INSTRUMENTS";"CD4050BD";"1740857";"50R5062";"16-SOIC";"Texas Instruments";"";"";"";"";
"U7";"PCA9685PW";"PCA9685PW";"SOP65P640X110-28N";"16-channel, 12-bit PWM Fm+ I2C-bus LED controller";"NXP";"PCA9685PW";"1854074";"19T6398";"TSSOP-28";"NXP";"";"";"";"";
"U8";"MCP23008-E/SO";"MCP23008-E/SO";"SOIC127P1030X265-18N";"8BIT EXPANDER, I/O, I2C I/F";"MICROCHIP";"MCP23008-E/SO";"1332086";"08J8738";"SOIC-18 -Wide";"Microchip";"";"";"";"";
"U9";"SN65HVD08D";"SN65HVD08D";"SOIC127P600X175-8N";"WIDE SUPPLY RANGE RS-485 TRANSCEIVER";"TEXAS INSTRUMENTS";"SN65HVD08D";"1212360";"17M9320";"SOIC-8";"Texas Instruments";"";"";"";"";
"U10";"MCP2515-I/SO";"MCP2515-I/SO";"SOIC127P1034X264-18N";"CAN Controller";"MICROCHIP";"MCP2515-I/SO";"1292239";"29H7136";"SOIC-18";"Microchip";"";"";"";"";
"U11";"MCP2551-I/SN";"MCP2551-I/SN";"SOIC127P600X175-8N";"High-Speed CAN Transceiver";"MICROCHIP";"MCP2551-I/SN";"9758569";"69K7604";"SOIC-8";"Microchip";"";"";"";"";
