Partlist

Exported from Armaz BBB Cape.sch at 08/09/2015 11:49

EAGLE Version 7.3.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value             Device                Package              Library                                      Sheet

3.3V     TPB1,27           TPB1,27               B1,27                testpad                                      1
5V       TPB1,27           TPB1,27               B1,27                testpad                                      1
12..24V  TPB1,27           TPB1,27               B1,27                testpad                                      1
12V      TPB1,27           TPB1,27               B1,27                testpad                                      1
ADT0     22-05-7108-10     22-05-7108-10         7395-10              con-molex                                    2
B1       3000              3000                  3000                 keystone                                     2
BAT      53261-03          53261-03              53261-03             con-molex                                    1
C1       4.7uF             C-EUC0805             C0805                rcl                                          1
C2       0.1uF             C-EUC0402             C0402                rcl                                          2
C3       4.7uF             C-EUC0402             C0402                rcl                                          1
C4       0.1uF             C-EUC0402             C0402                rcl                                          2
C5       0.1uF             C-EUC0402             C0402                rcl                                          2
C6       0.1uF             C-EUC0402             C0402                rcl                                          2
C7       0.1uF             C-EUC0402             C0402                rcl                                          2
C8       100UF             EEE-FTH101XAP-CASE-D8 CAPAE660X800N        Panasonic-EEEFT_EEEH                         1
C10      0.1uF             C-EUC0402             C0402                rcl                                          2
C13      0.1uF             C-EUC0402             C0402                rcl                                          1
C17      0.1uF             C-EUC0402             C0402                rcl                                          2
C26      4.7uF             C-EUC0402             C0402                rcl                                          1
C46      4.7uF             C-EUC0402             C0402                rcl                                          1
C48      150UF             EEE-FTV151XAP-CASE-D8 CAPAE660X800N        Panasonic-EEEFT_EEEH                         1
C49       68UF             EEE-FT1A680AR-CASE-B  CAPAE430X610N        Panasonic-EEEFT_EEEH                         1
C51      10nF              U0805R103KCT          CAPC2013X90N         Multicomp_By_element14_Batch_1               1
C52      150UF             EEE-FTV151XAP-CASE-D8 CAPAE660X800N        Panasonic-EEEFT_EEEH                         1
C53       47UF             EEE-FT1E470AR-CASE-C  CAPAE530X610N        Panasonic-EEEFT_EEEH                         1
C55      10nF              U0805R103KCT          CAPC2013X90N         Multicomp_By_element14_Batch_1               1
D1       3A, 60V           MBRS360BT3G           SMB                  ON Semiconductor_By_element14_Batch_1        1
