Partlist

Exported from Armaz BBB Cape.brd at 08/09/2015 11:31

EAGLE Version 7.3.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value             Package              Library                                      Position (mm)         Orientation

3.3V     TPB1,27           B1,27                testpad                                      (51.1556 36.3728)     R0
5V       TPB1,27           B1,27                testpad                                      (24.7396 8.0772)      R0
12..24V  TPB1,27           B1,27                testpad                                      (26.1112 35.9664)     R90
12V      TPB1,27           B1,27                testpad                                      (24.384 35.9664)      R0
ADT0     22-05-7108-10     7395-10              con-molex                                    (90.678 26.924)       R90
B1       3000              3000                 keystone                                     (5.6896 62.6872)      R90
BAT      53261-03          53261-03             con-molex                                    (11.3792 22.86)       R90
C1       4.7uF             C0805                rcl                                          (73.8456 52.404)      R270
C2       0.1uF             C0402                rcl                                          (54.4068 34.1376)     R0
C3       4.7uF             C0402                rcl                                          (58.4708 11.2776)     R90
C4       0.1uF             C0402                rcl                                          (49.9364 53.7972)     R270
C5       0.1uF             C0402                rcl                                          (34.1376 50.1396)     R270
C6       0.1uF             C0402                rcl                                          (39.3192 42.0624)     R90
C7       0.1uF             C0402                rcl                                          (58.928 40.2336)      R90
C8       100UF             CAPAE660X800N        Panasonic-EEEFT_EEEH                         (78.4352 55.7784)     R270
C10      0.1uF             C0402                rcl                                          (75.184 72.8472)      R90
C13      0.1uF             C0402                rcl                                          (18.3896 19.6596)     R180
C17      0.1uF             C0402                rcl                                          (62.1792 31.1912)     R90
C26      4.7uF             C0402                rcl                                          (68.5292 11.2776)     R90
C46      4.7uF             C0402                rcl                                          (78.8924 11.2776)     R90
C48      150UF             CAPAE660X800N        Panasonic-EEEFT_EEEH                         (30.48 29.5656)       R270
C49       68UF             CAPAE430X610N        Panasonic-EEEFT_EEEH                         (32.3596 22.6568)     R0
C51      10nF              CAPC2013X90N         Multicomp_By_element14_Batch_1               (19.9136 27.7368)     R270
C52      150UF             CAPAE660X800N        Panasonic-EEEFT_EEEH                         (44.9072 33.02)       R0
C53       47UF             CAPAE530X610N        Panasonic-EEEFT_EEEH                         (46.4312 22.6568)     R0
C55      10nF              CAPC2013X90N         Multicomp_By_element14_Batch_1               (40.3352 27.94)       R270
D1       3A, 60V           SMB                  ON Semiconductor_By_element14_Batch_1        (91.948 54.2036)      R90
D2       3A, 60V           SMB                  ON Semiconductor_By_element14_Batch_1        (82.6516 43.3832)     R90
D3       3A, 60V           SMB                  ON Semiconductor_By_element14_Batch_1        (45.3644 27.5336)     R0
D4       3A, 60V           SMB                  ON Semiconductor_By_element14_Batch_1        (17.0688 29.2608)     R90
DC1      NTE1205MC         NTE                  dc-dc-converter                              (74.0156 43.4848)     R0
EXP0     87832-26          87832-26             con-molex                                    (52.4256 71.4248)     R0
