Order list for D:/Users/WillyKaze/repos/eisla-electronics/ArmazCape/Rev B2/ArmazCape - Rev B2.sch
Exported from EAGLE with DesignLink

Quantity	Value	Package	Order code	Manufacturer	Manuf. Code	Availability	Price (from)	Description
8	TPB1,27	B1,27	unknown					
1	3000	3000	1650692	KEYSTONE	3000	6210	0.162	KEYSTONE - 3000 - BATTERY SMD RETAINER
1	22-03-50	5267-02A	9979620	MOLEX	22-03-5035	13000	0.0317	MOLEX - 22-03-5035 - CONNECTOR, HEADER, THT, 2.5MM, 3WAY
1	BBB	BBB	unknown					
1	470pF	C0603	2494241	MURATA	GRM188R71H471KA01D	1920	0.0043	MURATA - GRM188R71H471KA01D - CAP, MLCC, X7R, 470PF, 50V, 0603
2	22nF	C0603	1828896	MURATA	GRM188R71E223KA01D	2444	0.0049	MURATA - GRM188R71E223KA01D - CAP, MLCC, X7R, 22NF, 25V, 0603
2	47uF, 16V	C1210	1735538	MURATA	GRM32ER61C476ME15L	7378	0.196	MURATA - GRM32ER61C476ME15L - CAP, MLCC, X5R, 47UF, 16V, 1210
2	4.7uF, 50V	C1210	1828841	MURATA	GRM32ER71H475KA88L	9349	0.195	MURATA - GRM32ER71H475KA88L - CAP, MLCC, X7R, 4.7UF, 50V, 1210
4	4.7uF	CT3216	1818579	AVX (FORMERLY KNOWN AS NICHICON)	F931A475MAA	3620	0.039	AVX (FORMERLY KNOWN AS NICHICON) - F931A475MAA - TANTALUM CAPACITOR, 4.7UF, 10V, 4 OHM, 0.2, 3216-12
15	0.1uF	C0603	1759037	MULTICOMP	MC0603B104K250CT	146713	0.0038	MULTICOMP - MC0603B104K250CT - CAP, MLCC, X7R, 100NF, 25V, 0603
3	4.7uF	C0603	2320811	MULTICOMP	MC0603X475K6R3CT	85457	0.0099	MULTICOMP - MC0603X475K6R3CT - CAP, MLCC, X5R, 4.7UF, 6.3V, 0603
1	330pF	C0603	8819890	MURATA	GRM1885C1H331JA01D	-2	0.0049	MURATA - GRM1885C1H331JA01D - CAP, MLCC, C0G/NP0, 330PF, 50V, 0603
1	1000pF, 2kV	C1210	1855909	MULTICOMP	MC1206B102K202CT	22404	0.0158	MULTICOMP - MC1206B102K202CT - CAP, MLCC, X7R, 1NF, 2KV, 1206
1	5.6nF	C0603	1759099	MULTICOMP	MC0603B562K500CT	37704	0.0021	MULTICOMP - MC0603B562K500CT - CAP, MLCC, X7R, 5.6NF, 50V, 0603
1	4.7nF	C0603	8819971	MURATA	GRM188R71H472KA01D	17848	0.0039	MURATA - GRM188R71H472KA01D - CAP, MLCC, X7R, 4.7NF, 50V, 0603
2	0.01uF	C0603	1759003	MULTICOMP	MC0603B103K160CT	17754	0.0039	MULTICOMP - MC0603B103K160CT - CAP, MLCC, X7R, 10NF, 16V, 0603
2	6.8nF	C0603	1759100	MULTICOMP	MC0603B682K500CT	-2	0.0035	MULTICOMP - MC0603B682K500CT - CAP, MLCC, X7R, 6.8NF, 50V, 0603
4	STPS3L40UF	SMB	2341599	STMICROELECTRONICS	STPS3L40UF	526	0.13	STMICROELECTRONICS - STPS3L40UF - DIODE, SCHOTTKY, 3A, 40V, DO-214AA-2
1	85505-5113	MOLEX_85505-5113	1560163	MOLEX	85505-5113	5898	1.46	MOLEX - 85505-5113 - MODULAR, JACK, THT, R/A, RJ45, 8P8C
1	87832-26	87832-26	2313712	MOLEX	87832-2620	1503	0.894	MOLEX - 87832-2620 - HEADER, 26POS, 2ROW, 2MM
1	HI1206N101R-10	1206	2292367	LAIRD TECHNOLOGIES	HI1206N101R-10	20262	0.0258	LAIRD TECHNOLOGIES - HI1206N101R-10 - FERRITE, BEAD, 3216, 100MHZ, 100R
8	FIDUCIAL1X2	FIDUCIAL-1X2	unknown					
1	FUSE3557L	3557-LITTLE	2292902	KEYSTONE	3557	581	0.0649	KEYSTONE - 3557 - FUSE CLIP, 0.8X2.8MM, PCB MOUNT
4	MOUNT-PAD3,0	P3,0	unknown					
1	22-05-7108-10	7395-10	9731660	MOLEX	22-05-7108	3793	0.466	MOLEX - 22-05-7108 - CONNECTOR, HEADER, THT, R/A, 2.54MM, 10P
1	47uH	WE-PD_1260/1245/1280/1210	1635946	WURTH ELEKTRONIK	7447709470	5801	1.91	WURTH ELEKTRONIK - 7447709470 - CHOKE, SMD, 47UH
1	33uH	WE-PD_1260/1245/1280/1210	2082654	WURTH ELEKTRONIK	7447709330	1189	1.91	WURTH ELEKTRONIK - 7447709330 - PD INDUCTOR TYPE 1210, 33UH, 4.2A
1	red	CHIP-LED0603	1716774	MULTICOMP	OVS-0608	16805	0.0979	MULTICOMP - OVS-0608 - LED, 0603, SUP.BRIGHT RED, 300MCD, 625NM
