"Qty";"Value";"Device";"Package";"Parts";"Description";"MC";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"1";"0";"R-EU_R0603";"R0603";"R75";"RESISTOR, European symbol";"";"Multicomp Passives";"";"MC0603WG00000T5E-TC";"2073345";"58K4684";"";"";"";"";
"16";"0.1uF";"C-EUC0603";"C0603";"C6, C8, C10, C13, C15, C17, C21, C22, C24, C25, C27, C29, C32, C33, C35, C41";"CAPACITOR, European symbol";"";"";"";"GRM188R71H104KA93D";"1759037";"19X1715";"";"";"";"";
"7";"100";"R-EU_R0603";"R0603";"R5, R6, R7, R8, R37, R39, R52";"RESISTOR, European symbol";"";"";"";"RC0603FR-07100RL";"2073347";"68R0052";"";"";"";"";
"3";"10K";"R-EU_R0603";"R0603";"R32, R38, R40";"RESISTOR, European symbol";"";"";"";"RC0603FR-0710KL";"2073349";"68R0049";"";"";"";"";
"1";"160";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"RC0603FR-07160RL";"2447260";"66R2081";"";"";"";"";
"2";"18pF";"C-EUC0603";"C0603";"C42, C43";"CAPACITOR, European symbol";"";"";"";"MC0603N180J500CT";"1759006";"06R5138";"";"";"";"";
"5";"1K5";"R-EU_R0603";"R0603";"R15, R16, R17, R21, R35";"RESISTOR, European symbol";"";"";"";"RC0603FR-071K5L";"2073391";"68R0045";"";"";"";"";
"7";"1k";"R-EUR0603";"R0603";"R9, R10, R12, R14, R23, R36, R53";"RESISTOR, European symbol";"";"";"";"RC0603FR-071KL";"2073348";"68R0042";"";"";"";"";
"1";"200";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"RC0603FR-07200RL";"2073417";"68R0071";"";"";"";"";
"1";"22-03-50";"22-03-50";"5267-03A";"BAT";"";"";"";"";"22-03-5035";"9979620";"98K6552";"";"";"";"";
"3";"22-05-7028-02";"22-05-7028-02";"7395-02";"TH0, TH1, TH2";"CONNECTOR";"";"";"";"22-05-7028";"9731601";"25M1728";"";"";"";"";
"1";"22-05-7108-10";"22-05-7108-10";"7395-10";"ISW";"CONNECTOR";"";"";"";"22-05-7108";"9731660";"26M6365";"";"";"";"";
"2";"220";"R-EU_R0603";"R0603";"R73, R74";"RESISTOR, European symbol";"";"Multicomp Passives";"";"MC0063W06031220R";"2073428";"58K4526";"";"";"";"";
"2";"22nF";"C-EUC0603";"C0603";"C2, C11";"CAPACITOR, European symbol";"";"FARNELL";"";"GRM188R71H223KA01D";"1828896";"38K1672";"";"";"";"";
"1";"24AA256-I/SN";"MICROCHIP_BY_ELEMENT14_BATCH_1_24AA256-I/SN";"MICROCHIP_BY_ELEMENT14_BATCH_1_SOIC127P600X175-8N";"U4";"EEPROM";"";"";"";"24AA256-I/SN";"1331295";"35M0711";"SOIC-8";"MICROCHIP";"";"";
"1";"270";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";"";"RC0603FR-07270RL";"2073451";"98K7385";"";"";"";"";
"1";"2K2";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"RC0603FR-072K2L";"2073429";"68R0064";"";"";"";"";
"1";"3000";"3000";"3000";"B1";"";"";"KEYSTONE ELECTR";"";"3000";"1650692";"66F5622";"";"";"";"";
"1";"32.768kHz, 12.5pF";"ABS07-32.768KHZ";"ABS07";"Q1";"";"";"";"";"ABS06-32.768KHZ-T";"2101347";"52R7999";"";"";"";"32.768kHz, 12.5pF";
"1";"330pF";"C-EUC0603";"C0603";"C9";"CAPACITOR, European symbol";"";"FARNELL";"";"GRM1885C1H331JA01D";"1759075";"38K1687";"";"";"";"";
"1";"33uH";"WE-PD-7447709330_1260/1245/1280/1210";"WE-PD_1260/1245/1280/1210";"L4";"SMD-Shielded Power Inductors WE-PD";"";"";"";"7447709330";"2082654";"88T7077";"1210";"Wuerth Elektronik";"";"";
