"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"VALUE";
"+5V-0";"WIREPAD1,6/0,9";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";"unknown";"";"";"";"";
"+5V-1";"WIREPAD1,6/0,9";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";"unknown";"";"";"";"";
"C1";"560pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"MULTICOMP";"MC0805B561K500CT";"1759219";"";"";"";"";
"C2";"560pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"MULTICOMP";"MC0805B561K500CT";"1759219";"";"";"";"";
"C3";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"MULTICOMP";"MC0805F105Z250CT";"1759429";"";"";"";"";
"C4";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C5";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C6";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C7";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C8";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C9";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C10";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C11";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C12";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C13";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C14";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C15";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C16";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C17";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C18";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C19";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C20";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C21";"0.01uF, 6V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B103K160CT";"1759003";"";"";"";"";
"C23";"1uF, 16V";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0603X105K160CT";"1759407";"";"";"";"";
"C24";"10nF, 50V";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0402F103Z500CT";"1759001";"";"";"";"";
"C25";"4.7uF, 6.3V";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C26";"0.1uF, 16V";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C27";"4.7uF, 6.3V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603X475K6R3CT";"2320811";"";"";"";"";
"C28";"0.1uF, 16V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C29";"0.1uF, 16V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C30";"0.1uF, 16V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C31";"0.01uF, 6V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B103K160CT";"1759003";"";"";"";"";
"E0:M:C1";"1000pF, 2kV";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"MULTICOMP";"MC1206B102K202CT";"1855909";"";"";"";"";
"E0:M:C2";".022uF";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"MULTICOMP";"MC0805B223K500CT";"1759252";"";"";"";"";
"E0:M:C3";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E0:M:C4";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E0:M:C5";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E0:M:C6";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E0:M:R1";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E0:M:R2";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E0:M:R3";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E0:M:R4";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E0:M:R5";"10, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCHP03W8F100JT5E";"1576250";"";"";"";"";
"E0:M:T1";"";"WE-LAN-10/100-BASE-T,749010012";"749010012";"LAN-Transformer WE-LAN 10/100 Base T";"WURTH ELEKTRONIK";"749010012";"1636345";"unknown";"10/100/Base-T";"Wuerth Elektronik";"";
"E0:X0";"NE8FAV";"NE8FAV";"NE8FAV";"";"NEUTRIK";"NE8FAV";"1202031";"";"";"";"";
"E1:M:C1";"1000pF, 2kV";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"MULTICOMP";"MC1206B102K202CT";"1855909";"";"";"";"";
"E1:M:C2";".022uF";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"MULTICOMP";"MC0805B223K500CT";"1759252";"";"";"";"";
"E1:M:C3";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E1:M:C4";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E1:M:C5";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E1:M:C6";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E1:M:R1";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E1:M:R2";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E1:M:R3";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E1:M:R4";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E1:M:R5";"10, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCHP03W8F100JT5E";"1576250";"";"";"";"";
"E1:M:T1";"";"WE-LAN-10/100-BASE-T,749010012";"749010012";"LAN-Transformer WE-LAN 10/100 Base T";"WURTH ELEKTRONIK";"749010012";"1636345";"unknown";"10/100/Base-T";"Wuerth Elektronik";"";
"E1:X0";"NE8FAV";"NE8FAV";"NE8FAV";"";"NEUTRIK";"NE8FAV";"1202031";"";"";"";"";
"F0:R6";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F0:R7";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
