Order list for C:/Users/Adrian/Documents/ExMachina/repos/eisla-electronics/Varmo/Rev A1/Varmo - Rev A1.sch								
Exported from EAGLE with DesignLink								
								
Quantity	Value	Package	Order code	Manufacturer	Manuf. Code	Availability	Price (from)	Description
8	4.7uF	C0603	06X6198		MC0603X475K100CT	20485	0.029	"MULTICOMP - MC0603X475K100CT - Multilayer Ceramic Capacitor, MC Series, 4.7  F,   10%, X5R, 10 V, 0603 [1608 Metric] "
60	0.1uF	C0603	06R4923		MC0603B104K160CT	56275	0.004	"MULTICOMP - MC0603B104K160CT - CERAMIC CAPACITOR, 0.1UF, 16V, X7R, 10%, 0603"
4	10pF	C0603	06R5113		MC0603N100F500CT	10222	0.017	"MULTICOMP - MC0603N100F500CT - CERAMIC CAPACITOR 10PF 50V, C0G, 1%, 0603"
4	NTE0505MC	NTE	61K3399	"C & D TECHNOLOGIES, INC"	NTE0505MC	941	8.03	"MURATA POWER SOLUTIONS - NTE0505MC - DC-DC CONVERTER, ISO POL, 1 O/P, 1W, 200mA, 5V"
8	22-05-7028-02	Feb-95	25M1728		22-05-7028	605	0.5	"MOLEX - 22-05-7028 - WIRE-BOARD CONNECTOR HEADER 2 POSITION, 2.54MM"
4	F-2X3	DIL-100-2X3	08N6789		2213S-06G	27501	0.063	"MULTICOMP - 2213S-06G - HEADER, 2  ROW, VERTICAL, 6  POSITION"
32	FIDUCIAL1X2	FIDUCIAL-1X2	unknown					
4	47uH	8200	40M7122		82473C	2098	0.389	MURATA POWER SOLUTIONS - 82473C - POWER INDUCTOR 47UH 250MA 10% 17MHZ
4	MC21605G-VNMLWI	MC21605G	61X9742		MC21605G12W-VNMLWI	26	12.75	"MIDAS - MC21605G12W-VNMLWI - LCD, ALPHA-NUMERIC, 16 X 2, WHITE"
16	Blue	CHIP-LED0603	15R2205		OVS-0603	9	0.336	"MULTICOMP - OVS-0603 - LED, BLUE, 0.8MM X 1MM, 100MCD, 465NM"
4	Green	CHIP-LED0603	15R2206		OVS-0604	104810	0.369	"MULTICOMP - OVS-0604 - LED, GREEN, 0.8MM X 1MM, 300MCD, 520NM"
8	MOUNT-PAD2.5	P2.5	unknown					
4	HCPL2231300E	DIL8-SMD	unknown					
4	HCPL2201300E	DIL8-SMD	unknown					
16	10K	R0603	86T3506		MCMR06X1002FTL	306896	0.022	"MULTICOMP - MCMR06X1002FTL - Surface Mount Thick Film Resistor, MCMR Series, 10 kohm, 0.1 W, -  1%, 75 V, 0603 [1608 Metric] "
8	2.2K	R0603	86T3578		MCMR06X2201FTL	25460	0.022	"MULTICOMP - MCMR06X2201FTL - Surface Mount Chip Resistor, Ceramic, MCMR Series, 2.2 kohm, 100 mW,   1%, 75 V, 0603 [1608 Metric] "
4	3313J-1-203E	3313J	96M0897		3313J-1-203E	1427	1.54	BOURNS - 3313J-1-203E - TRIMMER POTENTIOMETER 20KOHM 1TURN SMD
36	4.7k	R0603	86T3649		MCMR06X4701FTL	343100	0.022	"MULTICOMP - MCMR06X4701FTL - Surface Mount Chip Resistor, Ceramic, MCMR Series, 4.7 kohm, 100 mW,   1%, 75 V, 0603 [1608 Metric] "
